Negative,Positive
Who doesn't love a @robpeterjones celebration? ðŸ‘ŠðŸ™Œ  Is he your @HiltonGardenInn Player of the Month for April?   VOTE NOW âž¡ï¸  http://bit.ly/LancsAprilPOTMÂ  pic.twitter.com/HhbLgZOml8,Afternoon Tea at @thejoule is a girls dream. More details on the simple sÃ¢Ëœâ‚¬Ã¯Â¸ï¿½l bit.ly/girlsweekendDaÃ¢â‚¬Â¦ #teatime pic.twitter.com/sIi8GjPcCs
Last night was a great start to my birthday week. Thanks @hiltonhhonors hiltongardeninn Too bad the toilet does not work this morning!!! Sadly this is my life.  https://www.instagram.com/p/BxH5d7VlBjw/?utm_source=ig_twitter_share&igshid=1kiancvx1agq1Â â€¦,@thejoule food was fantastic at @PatSmithTY and @EmmittSmith22 's event!!! Thank you all so much for supporting #team22 @SmithCharities
"You never want them brother it's horrible and you have to wash everything and the lotion you have to put on makes ya feel so sick ,it's just horrible ðŸ˜Ž",@thejoule Emmitt Smith Celeb Invitational behind the scenes video m.youtube.com/watch?feature=Ã¢â‚¬Â¦ Can we get a retweet? Thank you! #team22
#hiltonlucknow #hiltonhotel #hiltongardeninn #terrible #CustomerService Frontdesk people never receive calls and if they receive they disconnect while you are on holdðŸ˜¡,The #GreatAdventureHunt was a HUGE success thanks to @AllianceData  @Brown_Forman  @BankofTexas and @thejoule ohsocynthia.com/2014/02/the-grÃ¢â‚¬Â¦
@PatriotPlace & @hiltongardeninn i have never said anything bad about @TomBrady or @NewEnglandPatr but some crew boss & general contractor sick mind of starting jack hammering & construction at 5:55am ET / 2:55am PT (my time zone) should be relieved of duty & benched! pic.twitter.com/GIhEyZcBQq â€“ at Hilton Garden Inn - Patriot Place,Good Morning Tokyo #yf_party diamondmahone #fashionandfundraising @thejoule #ronaldmcdonald @ TenOverSix instagram.com/p/kqL1kzOlF8/
".@EmpriseBank has plans to expand to #KansasCity.  Wichita @HiltonGardenInn opening is delayed again.   @Boeing shares took another dip Monday on some bad news.  Those are some of the headlines featured in today's MorningBiz with Bill Roy report, sponsored by @SunflowerBank. pic.twitter.com/v5Vla9zQ4u",I always love catching up with @margaux_polaux and @BySarahBennett  especially over tea at the @thejoule. #ladieswhotea #noms #soclassy
"@HiltonGardenInn Montebello Los Angeles WORST HOTEL EXPERIENCE EVER!!! Day 3 and still not rectified, this was on my comforter.  Now I have random charges on my acct as wellðŸ¤¦ðŸ½â€â™€ï¸  pic.twitter.com/FA11wA8Odn",@thejoule This is what #digital and #retail #design look like @shiknews. Seneca College: bit.ly/Seneca-Digital
Your shuttle service is absolutely horrible @HiltonGardenInn . Not only booked shuttle before we left on our flight then called numerous times and was lied to over and over .... not again,Had a wonderful massage @thejoule #dallas yesterday! Impeccable amenities & spa! Thank you @thejoule. #massage #spa #escape pic.twitter.com/pOD7jDQII5
@HiltonHotels wouldn't you consider charging extra for handicap-accessible rooms a form of discrimination? Pretty terrible customer service at the very least. @HiltonGardenInn,A huge thank you to everyone at @thejoule hotel Dallas! It's been great staying here. You've been really wonderful X
@HiltonGardenInn staying at your location in Charlotte and Iâ€™ve had to call the front desk 2 nights in a row about a noise issue. Was promised theyâ€™d look into it but nothing has been fixed. Definitely not a great customer experience being woken up at 2am-3am.,After his @DALcontemporary opening @mariotestino spots model Chandra North @thejoule post party. Much love and talk. pic.twitter.com/drGsPtwnHr
@HiltonGardenInn U guys should tell people about parking charges before they book rooms.  $67 for 26 hours is nuts.  another $37 tomorrow morning is terrible.  #hiltongardeninn #hiltonhelp #Philly,Now I know why I didn't get the #penthouse #stunning #hotel Ã°Å¸Ëœâ€° @AlanPeppard @ImJohnOHurley @thejoule loved #ESPA & #CPD last night!
"Almost got through an entire 2 days at @HGIBellevue without anyone treating me different because of my skin. Almost. Never, again. #HiltonGarden #HiltonGardenInn #thisisamerica",@AlanPeppard @ImJohnOHurley @thejoule That is lovely! I had wonderful service by Mitch and Ashley with my reservations this week. #TheJoule
"@HiltonGardenInn Dublin - The hotel with no food in the restaurant. No salads, no burgers, no fish & chips... At 6:30pm on a Sunday?! Whoever is running that kitchen hasn't a clue, because it wasn't a bit busy. Glad we weren't staying there... feel bad for those who were! #bye pic.twitter.com/VJR0gRKxTP",Thank you to @thejoule for supporting local artist for your #holiday #extravaganza #SomeSecretsAreWorthWaitingFor pic.twitter.com/51eZOKOm7F
never stay at a @HiltonGardenInn ! we had a whole room booked and then they had the nerve to tell us they were full?? ISNT THAT WHAT A RESERVATION IS FOR .. they then turned us away with no empathy or coupons or NOTHING! i WISH i was rich enough to sue yall >:/,Great music #thejoule @gojustincash #rooftopterrace #dallasholidayparties @ The Joule  Dallas instagram.com/p/-U8t_jkxvL/
This is the worst ad on TV in so many ways. I can't believe you paid for this dribble.,Yes absolutely @Alto211NE it's an awesome place! @thejoule @ESPAskincare #DalllasBIG!
"@HiltonGardenInn How incompetent can hotel staff be and rude on top of that? When a loyal customer has a flight cancelled and canâ€™t physically make it to the hotel, is it really policy to steal the money for that reservation?",Shine bright like a #diamond! thejoule instagram.com/p/ksQaVLhQcl/
Appalling & unacceptable level of customer service from the Hilton Group @HiltonNewsroom @HiltonGardenInn my outstanding complaint regarding our hotel stay at a Hilton Garden Inn in the USA is still not addressed & revolved after 14days & counting!ðŸ™ˆâ˜¹ï¸ðŸ˜¡ðŸ‘Žâš¡ï¸Hilton like 2 ignoreðŸ¤¥,Happiness at @thejoule. Thanks for the tip @msitarzewski' pic.twitter.com/MN2SV7sgOj
. @HiltonNewsroom @HiltonHotels @HiltonGardenInn   Additionally you oversold rooms that we already paid in full for 2 weeks ago. Which is a breach of contract and highly illegal. I have never been so disgusted in my life.,"@JetSettersFlyIn @thejoule @texastourism @lucaslagoons Make sure you vote it ""Best Hotel Pool"" in @10Best! Vote here: 10best.com/awards/travel/Ã¢â‚¬Â¦"
@HiltonGardenInn @HiltonHotels @HiltonHonors the fact that I booked a suite and had confirmation and one of your employees goes in the system and changes it to a reg room is very upsetting. Is this how you conduct business now?,Loved working from @thejoule Dallas this Saturday morning Ã°Å¸Ëœï¿½Ã°Å¸â€™â€¹ #Dallas #fieldtrip pic.twitter.com/VGLJ6gkNt0
"@HiltonGardenInn The warm cookies were a nice touch, but the outdated Internet browsing experience was unforgettable.  Thank you!  pic.twitter.com/hsKf0nyMyq",Thank you #Dallas for an amazing experience. Special thanks to @thejoule  @FSDallas  and @RitzCarlton! Next stop - #Austin! #spatour
Disappointing that @HiltonGardenInn didn't value your safety/security.,Coffee is for closers! Thanks @AhhWeekend @thejoule pic.twitter.com/1QFZh2OQbz
"So disappointed in the @HiltonGardenInn Odessa, TX property and feel totally ripped off. I called ahead of time and asked if the hot tub was working. Some idiot said yes and of course it's not working. The TV picture is terrible on all channels and cuts in and out. #IWantARefund",The Infinity Pool at The Juele  sticks out over the edge of the building... #dallas #awesome #thejoule pic.twitter.com/J8Wvvi4KPv
So people are allowed to just book rooms under my name with all my info and bank account without my consent or knowledge and @HiltonGardenInn manager denied me a refund. I get the room is non refundable but this isnâ€™t even my fault and this is such bad customer service.,S A L E! This weekend enjoy 40% off select designers #sale #trafficla #thejoule @ Traffic Los AngelesÃ¢â‚¬Â¦ instagram.com/p/vq5L7UBaK_/
@HiltonGardenInn I send you my contact information to resolve this issue. You tell me 72 hours for a response. It's now 5 days with no response or resolution. This is basically theft and is unacceptable. I would like a resolution within 48 hours. The ball is in your court.,Thanks to @thejoule for this epic spotlight on the great @KateBanazi 1530main.com/5-questions-wiÃ¢â‚¬Â¦ #delinleedelovelypr #artistprdivision pic.twitter.com/ox3mJZY0BQ
@HiltonGardenInn please train your bar personell at your Bellevue Downtown hotel. Doesnt look like they want to serve any drinks to customers. #gettingthirsty,Had an amazing crunch and brunch class at Vital Fitness Studio! Thanks @thejoule and @CBDProvisions  I'll be back! vitalfitnessstudio.com
@HiltonHHonors @HiltonGardenInn Here we go again. So frustrated. Do better!!!  pic.twitter.com/4r7VQHP5Fx,Layer Love: feel free to pile them on #carbonandhyde #bracelets #instorenow #trafficla #thejoule @Ã¢â‚¬Â¦ instagram.com/p/yKheuMBaPU/
Hey @HiltonHotels @HiltonGardenInn @HiltonNewsroom ... a functioning shower is a key element to a hotel room. Worse: when you are notified of the problem and donâ€™t do anything about it. #Hilton #fail #hiltonhotels pic.twitter.com/xlT4cag8do,@thejoule It literally could not be any nicer out right now. Perfect day for a cocktail! #HotelPool #DowntownDallas pic.twitter.com/fiFmJdh0GZ
"@HiltonGardenInn your Port St Lucie location is WAY OVER PRICED!  I was unbelievably disappointed in paying $349 for a standard hotel room. I chose this location in expecting some luxury for that price. Sheesh, I paid that rate in downtown Manhattan for a luxury room. Never again",@YahooTravel @Sripanwa @thejoule looks gorgeous. A must visit #travel #ttot @Singular_Hotels @RWHotelGeorgia
So after getting no response from @HiltonGardenInn (rude) I went in and talked to the manager (which I should have done earlier tbh). I told her I have almost a year of sobriety and it's offensive to suggest that sobriety is painful.,Morning at @thejoule penthouse #rStheCon in the most comfy and chic #hmconsciousexclusive dress &Ã¢â‚¬Â¦ instagram.com/p/nIfObWEEsg/
"Thatâ€™s very unprofessional and rude! I once worked at an historic hotel, where J. F. k., and other famous people had stayed. If a guest has a sign on the door, and itâ€™s 12, the housekeeper should check with front desk to see if guest is gone or staying longer. So sorry about this",@thejoule oh thank you! I think ill just jump in a cab for now. See you very soon!
"@HiltonGardenInn has the absolute worst hospitality and customer service Iâ€™ve ever experienced, Called on the phone to ask check in age got to the hotel and the manager lied in my face saying he was the only male that worked there and never talked to me was unable to check in",Can you make a good cocktail? Learn how to shake  stir  & garnish like a pro from the roving barman at @thejoule! ow.ly/4mN2AD
"@HiltonGardenInn in South Padre Island is a terrible place to be.  Sorry guys if yâ€™all want to visit south padre island, book somewhere else to save your dissapintment. Thank me later.  #hiltongardeninnsouthpadresucks pic.twitter.com/nn3ToaleFs",Drinks are served! Big thanks to @thejoule for hosting us & @DtownDallasInc. #livelikealocal #mtdtd #mydtdcontest pic.twitter.com/qsRIRwp6WJ
"I think @HiltonGardenInn has a very broken IT system.  I cancelled a reservation weeks ago.  Last week I got email reminding me about my upcoming trip.  Followed their link and it took me to a cancellation number.  Emailed support pointing this out.  Today, ""check in is avail""?!",A couple of shots from our exclusive Live Like a Local contest event on the patio of Americano at @thejoule! pic.twitter.com/v4uBaes9VH
"Then to make it worse, housekeeping is going room to room at 8:30 on a Sunday morning waking everyone up!  I'll get the info when I get home.",So happy you're here w/ us at @thejoule @fenomenale2015! Looking forward to all of the cocktails & conversation. #livelikealocal #mydtd
@HiltonGardenInn nothing like checking in and dirty pillow cases in your room  pic.twitter.com/xvVxoQwQwA,oh you're going to have the BEST time! I love those places! Do you have all your hotels? @thejoule is one of my all time faves
"@bookingcom seriously disappointed at lack of follow up & update. I have emailed you evidence that the booking was canceled at no cost by @HiltonGardenInn as per your request, yet you have not responded to date.",Awesome view from @thejoule #CatalystDallas #TheEyeOfTheJoule pic.twitter.com/jRn2RfsA7n
@HiltonGardenInn Avoid this hotel! They will charge your card without a throughout investigation or even communicating anything to you. Just accuse you of breaking shit 3 weeks later. Pretty sure that's illegal to just take $$ off CC without saying anything! #shadyasfuck #yyc,Love The Joule Hotel!! Just wish they had coffee in the room! @thejoule #whatamigoingtodointhemorning #ineedcoffee :-)
Your @HiltonGardenInn Santa Barbara/Goleta is truly horrible! Coffee machine not working & phone to call FD not working either! Used my phone to call FD who told me to come down to lobby to get coffee!!! Burned 48K @HiltonHonors points for this? Requesting a refund @HiltonHotels,Best coffee so far in Texas thejoule Hotel  Dallas - ask for the #Gibraltar @ The Joule  Dallas instagram.com/p/oWbrZqHRyA/
We are sorry to hear of the noise disturbances! We would like to assist with this matter. Please follow and DM us the email address listed on the reservation. We look forward to helping you and hope that you are able to get some sleep! -BP,Thank you for the warm welcome. Loving my #staycation! @thejoule @CBDProvisions #Dallas #Texas pic.twitter.com/zJmUHfdGIG
"@HiltonHonors a little disappointed in this @HiltonGardenInn. No liquor, no straws, bathroom door doesnâ€™t lock or shut. Been to a lot of Hiltonâ€™s and never seen this. Especially in a garden inn.",Very thankful to everyone at @thejoule and @Guidrr for a lovely evening and the fantastic prize. #mydtd pic.twitter.com/AruROBCwF0
@HiltonGardenInn disgusted to hear of a young person sacked 3 days before Xmas who works in your kitchen - no previous warnings given to this poor lad - no training opps - companies like yours should set good examples -letter of complaint on route #capitalistbullies @MENnewsdesk,Impressed: colleague drops coke crossing street to @thejoule. Hotel mngr sees this  brings fresh coke free of charge #winning #Dallas
Thank you @HiltonGardenInn @HiltonHotels for taking action and righting customer service wrong I experienced. Sade I appreciated our convo and your #goodcustomerservice,Thanks to all the many friends met & staff along our walk @thejoule Hotel & @pressboxgrill for lovin on Lil AngelÃ¢ï¿½Â¤Ã¯Â¸ï¿½Ã¢ï¿½Â£ pic.twitter.com/XeO0aElM63
"@HiltonGardenInn Westbury LI. Worst customer service experience of my life. Paid for late checkout, not honored by front desk staff Dori who then sent 3 cops to my room. This in front of my son who was trying to sleep before swim meet finals which is why I needed late checkout",impressive art collection  boutique shopping & award-winning spa @thejoule #dallas #tenoversix #taschen #kktww pic.twitter.com/RkNViph4PY
The customer service @HiltonGardenInn in riverhead is absolutely horrible never experienced such an unprofessional staff,Thank you @thejoule for your donation of tea for 4 & valet at Tea at Taschen for Team Shayna's Feb. 8 raffle. We heart you! #teamshayna
"@HiltonGardenInn if the thermostats in your rooms are so complicated that the front desk staff keep a demonstration unit handy, you bought the wrong thing!!! #techfail #springfieldMO",We loved the restaurant  but we also love this fun new photo op: bit.ly/1jEiBQA. #DowntownDallas @thejoule pic.twitter.com/jlWVuqnXDi
omg the ppl outside of our hotel room are so unbelievably loud. why??? @HiltonGardenInn #foxboro #whyme,One of America's best hotel lobby's is @thejoule in Dallas. The art and service and vibe inspire. pic.twitter.com/zha4qW50hO
"@HiltonGardenInn I thought being woken up at 7am by your construction was super fun. Who knew it would get better with an extended fire alarm test at 10am. Not only do I get to wake up early, but I get a forced break from work. This is the best $300 night's sleep I never had!",When in #Dallas it does my soul good to spend time at the #inspiring @thejoule #kjltravels #coffee #interiordesign pic.twitter.com/YZC3lMBZtQ
In Atlanta. Horrible border entry experience a distant memory thanks to lovely @HiltonGardenInn staff and the prospect of exploring a new city,Excited to attend my very first #blogger conference. What to wear??? @rewardStyle @thejoule #rStheCon #dallas
"@HiltonGardenInn i am very disappointing at this HGI south kuala lumpur and i am pointing at restaurant service. Right now only 4 guests having breakfast but restaurant staffs just busy talking, i can just walk in without verification, having my own meal and leave! Cant believe!!",Look at the beautiful @thejoule with our skylight & rolling wall #enclosure systems! #rollacover #Dallas #thejoule pic.twitter.com/ZMBZWe7YQH
@HiltonHotels @HiltonGardenInn Is this what you accept from your employees? This is terrible. This is terrible and you should think about why this guy represents your company.  https://twitter.com/georgewrighster/status/1066478691310424064Â â€¦,Thanks to the wonderful Joule Hotel Dallas for looking after us so splendidly well over the last week! X @thejoule pic.twitter.com/GvPV4epkCY
"Am I just picky, unlucky or @HiltonGardenInn not working hard enough???",Thanks to great folks @thejoule hotel for hosting our ff draft and room upgrade. Penthouse best room ever stayed in. pic.twitter.com/JDNjmc2oXF
Hilton garden inn charged me $250 for smoking in the room  I have never smoked a cigarette in my life  Wut @HiltonGardenInn,Good morning from the top of @thejoule hotel! Talking #innovation today -- love my job @SabreHosp !! pic.twitter.com/RqSkWXkBvA
Room next to kitchen exhaust fan!!!!!  gonna be a horrible nights sleep!  #halifax #airport #hotel @HiltonGardenInn,Thanks to the wonderful people in #Dallas #Texas and our friends @thejoule and @fortyfiveten can't wait to come back and visit. pic.twitter.com/2A3l5RuJIp
